mode,period,max_lag,threshold,n_edges,density
log_price,0,1,0.0,866,0.9954022988505747
log_price,0,1,0.0050645009399291835,865,0.9942528735632183
log_price,0,1,0.010129001879858367,854,0.9816091954022989
log_price,0,1,0.015193502819787551,840,0.9655172413793104
log_price,0,1,0.020258003759716734,817,0.9390804597701149
log_price,0,1,0.025322504699645917,780,0.896551724137931
log_price,0,1,0.030387005639575103,751,0.8632183908045977
log_price,0,1,0.035451506579504286,707,0.8126436781609195
log_price,0,1,0.04051600751943347,645,0.7413793103448276
log_price,0,1,0.04558050845936265,553,0.635632183908046
log_price,0,1,0.050645009399291833,473,0.5436781609195402
log_price,0,1,0.055709510339221016,387,0.44482758620689655
log_price,0,1,0.060774011279150206,307,0.3528735632183908
log_price,0,1,0.06583851221907938,245,0.28160919540229884
log_price,0,1,0.07090301315900857,187,0.2149425287356322
log_price,0,1,0.07596751409893775,140,0.16091954022988506
log_price,0,1,0.08103201503886694,98,0.11264367816091954
log_price,0,1,0.08609651597879613,67,0.07701149425287357
log_price,0,1,0.0911610169187253,54,0.06206896551724138
log_price,0,1,0.09622551785865449,36,0.041379310344827586
log_price,0,1,0.10129001879858367,28,0.03218390804597701
log_price,0,1,0.10635451973851286,21,0.02413793103448276
log_price,0,1,0.11141902067844203,14,0.016091954022988506
log_price,0,1,0.11648352161837122,12,0.013793103448275862
log_price,0,1,0.1215480225583004,10,0.011494252873563218
log_price,0,2,0.0,864,0.993103448275862
log_price,0,2,0.0050645009399291835,859,0.9873563218390805
log_price,0,2,0.010129001879858367,848,0.9747126436781609
log_price,0,2,0.015193502819787551,832,0.9563218390804598
log_price,0,2,0.020258003759716734,814,0.9356321839080459
log_price,0,2,0.025322504699645917,771,0.8862068965517241
log_price,0,2,0.030387005639575103,708,0.8137931034482758
log_price,0,2,0.035451506579504286,641,0.7367816091954023
log_price,0,2,0.04051600751943347,551,0.6333333333333333
log_price,0,2,0.04558050845936265,466,0.535632183908046
log_price,0,2,0.050645009399291833,380,0.4367816091954023
log_price,0,2,0.055709510339221016,281,0.32298850574712645
log_price,0,2,0.060774011279150206,202,0.23218390804597702
log_price,0,2,0.06583851221907938,131,0.15057471264367817
log_price,0,2,0.07090301315900857,94,0.10804597701149425
log_price,0,2,0.07596751409893775,54,0.06206896551724138
log_price,0,2,0.08103201503886694,33,0.03793103448275862
log_price,0,2,0.08609651597879613,24,0.027586206896551724
