period,max_lag,source,target,F_stat,p_value,SSR_full,SSR_restricted,n_obs,n_weeks_used,q,k,skipped_reason,p_value_fdr,significant_fdr,significant_raw
0,1,AAPL,ABBV,1.0493076788783267,0.30610808258450495,592.5848448248661,593.6932295451186,564,141,1,3,,0.8696604054436983,False,False
0,1,AAPL,AMD,2.0429210197655006,0.1534723578888411,557.4768038909876,559.5068949439299,564,141,1,3,,0.8048037275579187,False,False
0,1,AAPL,AVGO,0.8363439290337856,0.36083739813256244,628.4108275035825,629.3476681105731,564,141,1,3,,0.883382229567739,False,False
0,1,AAPL,BAC,0.007898557403201714,0.9292139002409507,598.0875545431936,598.095975272038,564,141,1,3,,0.9986209641422782,False,False
0,1,AAPL,C,0.7800781531874115,0.3774955568052887,620.2700632356456,621.132557220327,564,141,1,3,,0.883382229567739,False,False
0,1,AAPL,CMCSA,0.00017609891448890135,0.9894169195838645,610.0751825465823,610.0753740502853,564,141,1,3,,0.9986209641422782,False,False
0,1,AAPL,COP,0.661246350043256,0.4164652482775022,511.5384268819285,512.1413732592592,564,141,1,3,,0.9085269773170822,False,False
0,1,AAPL,CVX,0.6083353571409875,0.43574419975392353,548.4967342685324,549.0915113750063,564,141,1,3,,0.9155687118388833,False,False
0,1,AAPL,DIS,0.12036266726544213,0.7287715804829857,613.3665077156768,613.4981056281188,564,141,1,3,,0.9797177879717952,False,False
0,1,AAPL,EOG,0.07537869733343751,0.7837616648845452,538.2249806710208,538.2972992056292,564,141,1,3,,0.9813848063528431,False,False
0,1,AAPL,GOOGL,0.0562354382491186,0.8126346564159458,642.5267775020002,642.5911853004309,564,141,1,3,,0.9814673028344625,False,False
0,1,AAPL,GS,0.28033843876358644,0.5966889301615157,608.1737009960956,608.4776126999001,564,141,1,3,,0.9589275260103556,False,False
0,1,AAPL,JNJ,0.05725949733846532,0.8109684492491244,605.2457030730988,605.3074785895412,564,141,1,3,,0.9814673028344625,False,False
0,1,AAPL,JPM,0.3655589989849593,0.5456794540159771,632.3270297634003,632.7390669042763,564,141,1,3,,0.9372811667098317,False,False
0,1,AAPL,LLY,1.897777035842777,0.16887665894505882,586.1092261044155,588.0919438045876,564,141,1,3,,0.8048037275579187,False,False
