mode,period,max_lag,source,target,F_stat,p_value,F_stat_cluster,p_value_cluster,n_clusters,cluster_reliable,SSR_full,SSR_restricted,n_obs,n_weeks_used,q,k,skipped_reason,p_value_fdr,p_value_cluster_fdr,significant_fdr,significant_cluster_fdr,significant_raw,significant_cluster_raw
log_price,0,1,GOOGL,META,0.07885616174908715,0.7789578053331523,0.06329488015935378,0.8017336315597245,140,True,1.5680116247718463,1.5682336128837089,560,140,1,3,,0.9561165491319121,0.9779028248430697,False,False,False,False
log_price,0,1,GOOGL,NFLX,1.975727299685828,0.16039878532037774,2.3524885408958975,0.1273561570908084,140,True,2.097831623851768,2.1052728145328956,560,140,1,3,,0.6409411881810702,0.6146457456113495,False,False,False,False
log_price,0,1,GOOGL,DIS,2.5963650804535314,0.10767559479060021,3.249125162736927,0.07362824386405635,140,True,1.6337042470835228,1.641319494226999,560,140,1,3,,0.5891683488542275,0.5500192768361162,False,False,False,False
log_price,0,1,GOOGL,CMCSA,0.07773306064345438,0.7804968109978727,0.07452562745209682,0.7852631317747915,140,True,3.9646268809849974,3.9651801710779386,560,140,1,3,,0.9561165491319121,0.9704779409133151,False,False,False,False
log_price,0,1,GOOGL,TMUS,0.6560023278510612,0.41832070817109235,0.9312426881476694,0.33621614047959036,140,True,3.7576647345274363,3.762090294335576,560,140,1,3,,0.8201752801362365,0.7992023011400098,False,False,False,False
log_price,0,1,GOOGL,XOM,1.4229368704334813,0.23342849522199996,1.5066603769470697,0.2217241156899346,140,True,13.928200672784484,13.96378227112578,560,140,1,3,,0.6895062845577303,0.7055636924663705,False,False,False,False
log_price,0,1,GOOGL,CVX,5.2571852530658445,0.02222812891116495,7.939551199346841,0.0055420447550231285,140,True,7.687179350750896,7.759733975383643,560,140,1,3,,0.4270839040780127,0.1854453437257739,False,False,True,True
log_price,0,1,GOOGL,COP,3.8484396305855273,0.05028990528660103,3.1882698761754917,0.0763489773124314,140,True,4.662905137904458,4.695122209585557,560,140,1,3,,0.5028437724977184,0.5500192768361162,False,False,False,False
log_price,0,1,GOOGL,SLB,3.5287902743235824,0.060833841415474335,3.0078879954522306,0.08507711849194155,140,True,7.637407905092379,7.685793561710929,560,140,1,3,,0.5292544203146268,0.569427430957589,False,False,False,False
log_price,0,1,GOOGL,EOG,0.5660016351731202,0.45216995633663637,0.36309250353667133,0.5477755219734142,140,True,7.132901701670989,7.140149877661429,560,140,1,3,,0.845579125123707,0.9147115242166417,False,False,False,False
log_price,0,1,GOOGL,MPC,0.07061959806003273,0.7905351031899384,0.02789660153934102,0.86759487659251,140,True,10.982497452949808,10.983889875850746,560,140,1,3,,0.9561728136382028,0.9816529748990469,False,False,False,False
log_price,0,1,GOOGL,JPM,1.2093848754194665,0.27192905071555556,1.0412198480666301,0.3093106373003932,140,True,7.7858184773805466,7.8027234165354935,560,140,1,3,,0.7147379882855992,0.7732945016376684,False,False,False,False
