mode,gauss_di,gauss_p,te,n_obs,skipped_reason,period,max_lag,source,target,te_threshold,te_sig,te_pvalue,gauss_fdr,gauss_sig_raw,gauss_sig_fdr
log_return,0.0006970938474416654,0.3767003058224222,0.0,564,,0,1,GOOGL,META,0.040434648309386506,False,1.0,0.8833548406067465,False,False
log_return,4.444906807289055e-05,0.8233638387423997,0.0,564,,0,1,GOOGL,NFLX,0.040434648309386506,False,1.0,0.9814736372770845,False,False
log_return,0.0016189258212547125,0.1779314635704148,0.0,564,,0,1,GOOGL,DIS,0.040434648309386506,False,1.0,0.8048164248230615,False,False
log_return,0.00034700144311298044,0.5328314146849709,0.01806361741596163,564,,0,1,GOOGL,CMCSA,0.040434648309386506,False,0.23255813953488372,0.9372745584434671,False,False
log_return,6.952951569692165e-05,0.7801051156461768,0.005847648973636099,564,,0,1,GOOGL,TMUS,0.040434648309386506,False,0.3953488372093023,0.9813705303978405,False,False
log_return,0.0009396432809248017,0.30473894993494755,0.028341839806710345,564,,0,1,GOOGL,XOM,0.040434648309386506,False,0.10299003322259136,0.8697141838848598,False,False
log_return,9.829087778256782e-05,0.7399346157597222,0.008486613776037322,564,,0,1,GOOGL,CVX,0.040434648309386506,False,0.3654485049833887,0.979765201987997,False,False
log_return,0.0006062968849956455,0.40970412281341473,0.027089821612827913,564,,0,1,GOOGL,COP,0.040434648309386506,False,0.11960132890365449,0.9084233612784777,False,False
log_return,0.00035800783313302007,0.5264047530165602,0.030276369627841415,564,,0,1,GOOGL,SLB,0.040434648309386506,False,0.09302325581395349,0.9372745584434671,False,False
log_return,7.626399778617994e-07,0.976673968365966,0.0,564,,0,1,GOOGL,EOG,0.040434648309386506,False,1.0,0.9986460595925003,False,False
log_return,3.620140008946697e-06,0.9492060512316631,0.0,564,,0,1,GOOGL,MPC,0.040434648309386506,False,1.0,0.9986460595925003,False,False
log_return,0.0011950341041871654,0.2470985230332439,0.0,564,,0,1,GOOGL,JPM,0.040434648309386506,False,1.0,0.8422941970488725,False,False
log_return,0.0007622054064647104,0.3553013661399135,0.06439828240898504,564,,0,1,GOOGL,BAC,0.040434648309386506,True,0.009966777408637873,0.8833548406067465,False,False
log_return,0.0008320536690979532,0.3341538530780074,0.02203375129231744,564,,0,1,GOOGL,MS,0.040434648309386506,False,0.16943521594684385,0.8771615358442454,False,False
log_return,0.0005916504878760054,0.41541824390428783,0.0,564,,0,1,GOOGL,GS,0.040434648309386506,False,1.0,0.9084233612784777,False,False
log_return,5.011762225955945e-06,0.9402508573522694,0.035818333138079694,564,,0,1,GOOGL,C,0.040434648309386506,False,0.06976744186046512,0.9986460595925003,False,False
log_return,0.00016818920895422253,0.6641343977942706,0.005859188879650423,564,,0,1,GOOGL,WFC,0.040434648309386506,False,0.3953488372093023,0.9725991131482278,False,False
log_return,0.0001206620862865134,0.7130371547895831,0.010655894801558485,564,,0,1,GOOGL,AAPL,0.040434648309386506,False,0.32558139534883723,0.979765201987997,False,False
log_return,0.0003342076678989651,0.540482107035337,0.0,564,,0,1,GOOGL,MSFT,0.040434648309386506,False,1.0,0.9372745584434671,False,False
log_return,0.0001822576954086548,0.6512634333307081,0.0017426753600080502,564,,0,1,GOOGL,NVDA,0.040434648309386506,False,0.48172757475083056,0.9725991131482278,False,False
log_return,0.00015477602158727038,0.6770162898783547,0.006803238114790666,564,,0,1,GOOGL,AVGO,0.040434648309386506,False,0.3853820598006645,0.9739949757766041,False,False
log_return,1.6978001971695904e-05,0.890273788616338,0.020528613937843332,564,,0,1,GOOGL,AMD,0.040434648309386506,False,0.1893687707641196,0.9929976873028385,False,False
log_return,0.0012464609932911783,0.23717891642189404,0.013787672355655145,564,,0,1,GOOGL,ORCL,0.040434648309386506,False,0.2724252491694352,0.8269451717771769,False,False
log_return,6.4830494831862545e-06,0.9320629260087157,0.0,564,,0,1,GOOGL,UNH,0.040434648309386506,False,1.0,0.9986460595925003,False,False
log_return,0.0009970668447557964,0.29041153617316406,0.013902818286895435,564,,0,1,GOOGL,JNJ,0.040434648309386506,False,0.2724252491694352,0.8692955467125104,False,False
log_return,0.0006358228947697252,0.39852980129996973,0.0,564,,0,1,GOOGL,LLY,0.040434648309386506,False,1.0,0.8982407438626261,False,False
log_return,0.0010351424212394302,0.28138357492475335,0.0,564,,0,1,GOOGL,ABBV,0.040434648309386506,False,1.0,0.8692955467125104,False,False
log_return,0.0015092117000378073,0.19336025686603736,0.022919235711563957,564,,0,1,GOOGL,PFE,0.040434648309386506,False,0.16943521594684385,0.8048164248230615,False,False
log_return,0.0006310125259990269,0.40031982861040605,0.031663789737925496,564,,0,1,GOOGL,MRK,0.040434648309386506,False,0.08637873754152824,0.8986341082171259,False,False
log_return,0.000714807053916569,0.37070524020005935,0.055762711912605845,564,,0,1,META,GOOGL,0.040434648309386506,True,0.013289036544850499,0.8833548406067465,False,False
log_return,1.2478339664858648e-06,0.9701654071760343,0.0,564,,0,1,META,NFLX,0.040434648309386506,False,1.0,0.9986460595925003,False,False
log_return,4.424672011295648e-05,0.8237597340226827,0.0,564,,0,1,META,DIS,0.040434648309386506,False,1.0,0.9814736372770845,False,False
log_return,0.0005121759987434317,0.44861468466020193,0.0,564,,0,1,META,CMCSA,0.040434648309386506,False,1.0,0.9168319806247832,False,False
log_return,0.0001600495386295935,0.6718759390828561,0.002019282408167289,564,,0,1,META,TMUS,0.040434648309386506,False,0.48172757475083056,0.9725991131482278,False,False
log_return,0.001157386788412811,0.25468295443292926,0.027839125389948816,564,,0,1,META,XOM,0.040434648309386506,False,0.10631229235880399,0.8489431814430975,False,False
log_return,0.0017625435416782984,0.1598322350584777,0.010716788211208472,564,,0,1,META,CVX,0.040434648309386506,False,0.32558139534883723,0.8048164248230615,False,False
log_return,0.00032406301996411974,0.5466930926319546,0.0,564,,0,1,META,COP,0.040434648309386506,False,1.0,0.9372745584434671,False,False
log_return,0.0002520389500516101,0.595043969201644,0.006174314182374907,564,,0,1,META,SLB,0.040434648309386506,False,0.3920265780730897,0.958825595556732,False,False
log_return,0.0006510269931521007,0.39294749861431855,0.0,564,,0,1,META,EOG,0.040434648309386506,False,1.0,0.8902716765480655,False,False
log_return,0.0004692845847871593,0.46826454894221337,0.005512072610951879,564,,0,1,META,MPC,0.040434648309386506,False,0.4053156146179402,0.928414287396606,False,False
log_return,0.00021043993458880767,0.6271807757650931,0.0,564,,0,1,META,JPM,0.040434648309386506,False,1.0,0.9725991131482278,False,False
log_return,0.0005537664483064237,0.43076036990993705,0.033520455040322084,564,,0,1,META,BAC,0.040434648309386506,False,0.08305647840531562,0.915588780823915,False,False
