mode,period,max_lag,source,target,F_stat,p_value,F_stat_cluster,p_value_cluster,n_clusters,cluster_reliable,SSR_full,SSR_restricted,n_obs,n_weeks_used,q,k,skipped_reason,p_value_fdr,p_value_cluster_fdr,significant_fdr,significant_cluster_fdr,significant_raw,significant_cluster_raw
log_return,0,1,GOOGL,META,0.7826847747913315,0.3767003058224222,0.9575030315280255,0.3295046625833611,141,True,631.3079347784568,632.1887103733874,564,141,1,3,,0.8833548406067465,0.9863877696957353,False,False,False,False
log_return,0,1,GOOGL,NFLX,0.04987407120090533,0.8233638387423997,0.057967741633325895,0.8100895542404059,141,True,478.12789786195776,478.17040443026633,564,141,1,3,,0.9814736372770845,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,DIS,1.8193786209938516,0.1779314635704148,1.6903803534874522,0.19568722417605972,141,True,611.514655476954,613.4978581339935,564,141,1,3,,0.8048164248230615,0.9863877696957353,False,False,False,False
log_return,0,1,GOOGL,CMCSA,0.3894707504531422,0.5328314146849709,0.33614466971402995,0.5629949587339586,141,True,609.6523057899607,610.0755531002129,564,141,1,3,,0.9372745584434671,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,TMUS,0.07801754100804408,0.7801051156461768,0.1059392430294886,0.7453014173953143,141,True,624.8274738824489,624.9143678273091,564,141,1,3,,0.9813705303978405,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,XOM,1.055271028952913,0.30473894993494755,0.7908524551004263,0.37536799733972936,141,True,551.8736552899948,552.9117591760373,564,141,1,3,,0.8697141838848598,0.9863877696957353,False,False,False,False
log_return,0,1,GOOGL,CVX,0.11029320533280552,0.7399346157597222,0.04738952315120144,0.8279865662007032,141,True,548.9825986685871,549.0905292398511,564,141,1,3,,0.979765201987997,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,COP,0.680677714338194,0.40970412281341473,0.20772727132779026,0.6492607547041449,141,True,511.52025860309914,512.1409010994693,564,141,1,3,,0.9084233612784777,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,SLB,0.4018286294047785,0.5264047530165602,0.19832990488065763,0.656760140931235,141,True,564.7759639315495,565.1804971784433,564,141,1,3,,0.9372745584434671,0.9988570244965246,False,False,False,False
log_return,0,1,GOOGL,EOG,0.000855682707690264,0.976673968365966,0.00045362900013796564,0.983037811726549,141,True,538.2962705092509,538.2970915623887,564,141,1,3,,0.9986460595925003,0.9988570244965246,False,False,False,False
