method,mode,period,max_lag,K,alpha,n_edges,density
granger,log_price,1,1,4,0.001,1,0.0011494252873563218
granger,log_price,1,1,4,0.005,6,0.006896551724137931
granger,log_price,1,1,4,0.01,14,0.016091954022988506
granger,log_price,1,1,4,0.02,24,0.027586206896551724
granger,log_price,1,1,4,0.05,48,0.05517241379310345
granger,log_price,1,1,4,0.1,72,0.08275862068965517
granger,log_price,1,1,4,0.2,96,0.1103448275862069
granger,log_price,1,1,4,0.3,110,0.12643678160919541
granger,log_price,1,1,4,0.5,118,0.135632183908046
granger,log_price,1,2,none,0.001,4,0.004597701149425287
granger,log_price,1,2,none,0.005,12,0.013793103448275862
granger,log_price,1,2,none,0.01,14,0.016091954022988506
granger,log_price,1,2,none,0.02,21,0.02413793103448276
granger,log_price,1,2,none,0.05,53,0.06091954022988506
granger,log_price,1,2,none,0.1,100,0.11494252873563218
granger,log_price,1,2,none,0.2,201,0.23103448275862068
granger,log_price,1,2,none,0.3,282,0.32413793103448274
granger,log_price,1,2,none,0.5,472,0.542528735632184
granger,log_price,1,2,5,0.001,4,0.004597701149425287
granger,log_price,1,2,5,0.005,12,0.013793103448275862
granger,log_price,1,2,5,0.01,14,0.016091954022988506
granger,log_price,1,2,5,0.02,19,0.021839080459770115
granger,log_price,1,2,5,0.05,45,0.05172413793103448
granger,log_price,1,2,5,0.1,76,0.08735632183908046
granger,log_price,1,2,5,0.2,123,0.1413793103448276
granger,log_price,1,2,5,0.3,138,0.15862068965517243
granger,log_price,1,2,5,0.5,150,0.1724137931034483
granger,log_price,1,2,4,0.001,4,0.004597701149425287
granger,log_price,1,2,4,0.005,11,0.01264367816091954
granger,log_price,1,2,4,0.01,13,0.014942528735632184
granger,log_price,1,2,4,0.02,18,0.020689655172413793
granger,log_price,1,2,4,0.05,41,0.047126436781609195
granger,log_price,1,2,4,0.1,68,0.07816091954022988
granger,log_price,1,2,4,0.2,104,0.11954022988505747
granger,log_price,1,2,4,0.3,114,0.1310344827586207
granger,log_price,1,2,4,0.5,120,0.13793103448275862
granger,log_price,1,3,none,0.001,2,0.0022988505747126436
granger,log_price,1,3,none,0.005,10,0.011494252873563218
granger,log_price,1,3,none,0.01,14,0.016091954022988506
granger,log_price,1,3,none,0.02,26,0.029885057471264367
granger,log_price,1,3,none,0.05,60,0.06896551724137931
granger,log_price,1,3,none,0.1,122,0.14022988505747128
granger,log_price,1,3,none,0.2,241,0.2770114942528736
granger,log_price,1,3,none,0.3,352,0.4045977011494253
granger,log_price,1,3,none,0.5,522,0.6
granger,log_price,1,3,5,0.001,2,0.0022988505747126436
granger,log_price,1,3,5,0.005,10,0.011494252873563218
granger,log_price,1,3,5,0.01,14,0.016091954022988506
granger,log_price,1,3,5,0.02,25,0.028735632183908046
granger,log_price,1,3,5,0.05,54,0.06206896551724138
granger,log_price,1,3,5,0.1,92,0.10574712643678161
granger,log_price,1,3,5,0.2,136,0.15632183908045977
