,AAPL,ABBV,AMD,AVGO,BAC,C,CMCSA,COP,CVX,DIS,EOG,GOOGL,GS,JNJ,JPM,LLY,META,MPC,MRK,MS,MSFT,NFLX,NVDA,ORCL,PFE,SLB,TMUS,UNH,WFC,XOM
2022-11-09 05:00:00,-2.0805755679535394,-0.4625697849244899,-1.9472889713857546,-0.9972169570866817,-1.0156734220116315,-0.9818513383881213,-1.022788851724851,-3.802104887465638,-2.845555636321722,-7.629097497652918,-3.421991899353549,-1.023155640497294,-0.3872212544663003,-0.7979677418872064,-0.9697167062611461,-0.498167123479612,2.0122215566256947,-1.4076330006709623,0.03503457442507575,-1.2768796218729968,-1.2787144409111646,-1.5967451055936024,-1.9485601245804178,-0.021432788613381323,-0.854827345548297,-1.4376108374759289,-0.641340936743023,-0.9580226113114615,-1.4876164407494457,-3.1434631886631914
2022-11-10 05:00:00,5.086015748176501,0.9107817038118425,3.9601956259881352,2.5416449237249985,2.6297321343131994,3.533784748836413,2.6907638451943754,1.7781169674419846,1.2900169237385035,2.2566011288895336,1.0917822574112455,3.762124671321279,2.480241001593571,1.030856013759136,2.6820327074835273,0.6384961155913428,3.97535697064472,1.370529757228786,0.1720519252072588,3.4531045933793565,5.030461471795808,3.3771858074568737,4.164098407496556,0.7063468817576918,0.9519824337677714,0.025759636873741883,0.8330835677354339,0.3126991930294828,2.3034942433556296,0.9574651532702122
2022-11-11 05:00:00,1.1018188012660266,0.15257380956693864,1.6204653524155208,0.6943198216101855,0.4225161085397775,1.9139019489571656,2.3398142458017976,1.8420884439602696,1.9357841462859304,2.6453457514375223,1.8955128959240866,1.2843923917904498,0.9724645814371485,-2.8754894616667483,0.03646938690366838,-2.2029483596823174,0.3303094757085961,0.8133597856017336,-2.636920812769754,1.1912997316514433,1.037708813494675,2.340859077257488,1.048569536355628,0.24340984304685706,0.3329443018797204,1.5215924890484793,-2.0969609137098386,-1.7774205115922417,-0.5083185537329042,2.055423921419781
2022-11-14 05:00:00,-0.6216991759429509,0.662938264768445,0.4356004766420212,-0.40675638807280495,-1.0798058346400456,-1.3662350680273883,0.19191362306301246,-0.1660898365162141,0.020814950933144647,-0.42203905047519136,-0.3585972166264654,-0.46890803451296365,-0.4887629913657534,1.3979566137498076,-0.7805682055788743,0.5684804593755033,0.34427581673596536,-0.32339888286426227,1.5774853636502213,-0.6590786072578922,-1.504865477937477,1.3232005724435847,-0.1584866766537084,0.34611390811373627,2.2595931493306654,-0.6592892539769151,-0.3948040429542569,-0.6712565788836676,-0.843603442575511,0.16449391112205072
2022-11-15 05:00:00,0.6630181388157165,0.5317238516950165,1.095463533872776,0.6633614212527627,-0.1262209736920966,-0.05444154380395754,0.2645723245327307,0.430574839643442,0.5433593882050798,0.6947260309921363,0.4385955519876921,1.404024749059728,0.012779180776364932,0.2075001865168496,-0.5716533780776848,-0.8751886151825823,0.9355647168331891,0.05604871414009628,-0.5222075477234622,0.37889266503782476,0.06736551092051425,1.5412900717473157,0.6201253192972019,0.2763995952443871,-0.8749867240021743,0.5259373414040841,-0.2628621621301736,-0.8912385660378114,-0.2325526094038367,0.42039700226204346
2022-11-16 05:00:00,-0.5515458139887834,-0.566150997575504,-1.51895095183237,-0.9257729491718403,-0.5864025995982589,-0.8129285384993686,-0.5627501240800119,-1.9787599629720682,-1.1517634727165518,-0.8949539279185765,-1.507682788613475,0.13828181899925404,-0.1487917039058595,0.5235035550943598,0.0177205488852103,0.33709315638522463,-1.4917909277142742,-0.09334008306621734,0.1959037708623251,-0.47849650508332214,0.07279376918019001,-0.6799364423929273,-1.5729215492543762,0.30192725879596893,-0.6815208082388334,-1.4922002620656345,-0.0949683743251341,0.7622815674417276,-0.6410082886133914,-0.7638361619489392
2022-11-17 05:00:00,0.7285605735493206,0.08301931021756503,0.4496984967848556,-0.05549044088309812,-0.34240477375659206,-0.2026484030695134,0.5044939312147241,0.8093232638026949,0.18371707163117357,-1.4622315040144618,0.4152739080360361,-0.34153278470046633,-0.45235655634921307,0.6955747946408211,-0.37320233815626547,0.97130062165638,-0.757699140391104,0.18841576492682158,1.539806369292103,-0.602121393680055,-0.05741847626750671,-1.6755565242310801,-0.5654105922983627,-0.3550810689947753,0.4105440840999324,-0.14568813489005292,1.3819319793897002,0.35244880749786967,-0.3078050492897183,0.056624236654235605
2022-11-18 05:00:00,0.17968786430376527,1.1979055373253746,-0.17572654422805792,0.1236916872818243,0.00489438584220093,0.400863329224495,0.4275492232232462,-1.0735897744270055,-0.4288054536761947,0.20091880964712533,-1.3835228556677346,-0.5797666724414223,-0.15402009533736505,0.657985279505809,0.592356629737,0.05561476094057804,0.12758094134345563,0.286068900951964,1.2112873185394075,0.1054214627987589,-0.16642361800275512,-1.1951074742974925,-0.6446168154320429,0.21767155283535686,-0.10875546504869578,0.5471767226618337,0.47743917407095043,1.256628526125576,0.5711672708718438,-0.6251195967217492
2022-11-21 05:00:00,-1.3678016747325588,0.8785455887770044,-0.4975480449966106,0.07119954551137249,0.17023347772574882,0.18302672666391198,-0.2844132317032185,-1.3095398267405582,-0.6798894455777864,3.2927692164240434,-0.46800658376473614,-1.0772420402450595,0.08792172919961465,0.4249538351406168,-0.4793772575271127,-0.126550368103429,-0.9201719654915412,-0.3937909808542477,0.8499507664273042,-0.12890317750693486,0.17634681406145736,-0.5298554164925464,-0.2865782744067427,0.010812520803150769,-0.040639896342332144,-1.0586909288222779,0.4689851637129149,-1.0369535075248781,0.36292756381958324,-0.7098917746125146
2022-11-22 05:00:00,0.8289389103518339,1.0997190185995167,1.0920049209951035,0.7491954452268133,0.2682694358069094,0.439600035973325,1.345461784974133,1.8951051019093121,1.7462054313177167,-0.7691477917822784,1.7938887552027047,0.7112637440580752,0.48772254401016363,0.3962505121516522,0.939931060825479,-0.09928211017774242,0.49942319060324675,2.5004686470678914,0.7826871117122614,0.31953776622122504,0.7412739263088177,0.18737447755635164,1.3672596129222767,1.029109566510178,1.2471549152502506,1.2346832689737153,0.7833578319156727,0.5252567878450516,0.277403002510548,1.9040431278677807
