Date,Open,High,Low,Close,Volume
2010-03-01 00:00:00-05:00,117.77944967141269,119.1189633382681,117.52359009073074,117.8020248413086,6522800
2010-03-02 00:00:00-05:00,118.28365375733692,120.21767761951357,118.08047721770365,119.46514129638672,11986400
2010-03-03 00:00:00-05:00,119.68341342711207,119.9919561828363,118.32132404549658,118.69007110595703,10006000
2010-03-04 00:00:00-05:00,119.08887930998303,123.30308753113147,118.983524678594,123.12247467041016,15439500
2010-03-05 00:00:00-05:00,124.25123905400973,126.61420200810346,124.16845962161706,125.8089828491211,12226700
2010-03-08 00:00:00-05:00,126.33581088547591,128.45043627161976,126.01974698447017,127.81077575683594,9344500
2010-03-09 00:00:00-05:00,127.34423073613091,129.58678634884174,126.42613526380579,127.0657958984375,12958700
2010-03-10 00:00:00-05:00,128.1268461305649,129.69212325471128,127.08082097101449,129.39111328125,13107200
2010-03-11 00:00:00-05:00,128.984718729966,130.61773262485337,128.7589670235694,130.57257080078125,8910600
2010-03-12 00:00:00-05:00,131.70137495333427,132.70224961957234,130.94131741707503,131.66375732421875,10216900
2010-03-15 00:00:00-04:00,130.90375629590685,131.84442716822983,128.21720625560775,130.5876922607422,13958600
2010-03-16 00:00:00-04:00,131.1897131601214,132.76251197382928,130.610256735093,132.5894317626953,11687700
2010-03-17 00:00:00-04:00,133.09355265687012,133.86114279527627,132.12278601227882,132.92799377441406,10138600
2010-03-18 00:00:00-04:00,132.5969270451426,133.7633608994749,132.19056239357423,133.53759765625,6883500
2010-03-19 00:00:00-04:00,133.87620544433594,134.1095013468331,132.40876193104046,133.87620544433594,10896600
2010-03-22 00:00:00-04:00,132.60444735478814,133.16131695548327,131.8669533970546,132.5668182373047,7320400
2010-03-23 00:00:00-04:00,132.63453348105404,133.05595200550573,130.40702080250333,131.56593322753906,10804800
2010-03-24 00:00:00-04:00,130.67042167922133,132.41631166090846,130.67042167922133,131.2498779296875,8396100
2010-03-25 00:00:00-04:00,131.8745235255564,134.50086902224723,131.5283516224052,131.61865234375,9534300
2010-03-26 00:00:00-04:00,131.97986222594872,132.0551089903657,129.3685595102356,130.0909881591797,11811500
2010-03-29 00:00:00-04:00,130.84351085458147,131.2649294356714,129.16535776102862,130.97897338867188,11785600
