Date,Open,High,Low,Close,Volume
2010-03-01 00:00:00-05:00,143.00972392906462,144.2566497151082,141.99248972780782,143.06878662109375,389700
2010-03-02 00:00:00-05:00,144.30920853407648,144.59141374974547,142.02536010742188,142.02536010742188,568200
2010-03-03 00:00:00-05:00,143.17380765565665,143.86946168949422,140.8308871689178,141.80874633789062,500900
2010-03-04 00:00:00-05:00,143.67464807185706,143.67464807185706,139.96261578060356,142.30982971191406,300600
2010-03-05 00:00:00-05:00,143.07464617871906,144.9735202782646,142.05928214862203,144.9405517578125,557200
2010-03-08 00:00:00-05:00,144.94060025816378,144.94060025816378,142.70547064747458,143.81314086914062,293900
2010-03-09 00:00:00-05:00,143.06810580667843,144.31423984883503,142.3230592421196,143.05491638183594,323100
2010-03-10 00:00:00-05:00,143.60208058886735,144.31415821883132,142.01309282368604,142.2174835205078,502000
2010-03-11 00:00:00-05:00,141.28786972912897,142.0592949470034,138.22857788234393,138.72967529296875,730900
2010-03-12 00:00:00-05:00,139.76479084061327,140.92521824757569,137.37142943491097,138.45932006835938,601600
2010-03-15 00:00:00-04:00,137.813204782935,140.57580000203097,137.56924576143484,139.8900909423828,384800
2010-03-16 00:00:00-04:00,140.77360454169641,140.77360454169641,138.84836133026246,140.0087890625,290400
2010-03-17 00:00:00-04:00,145.05264658830123,149.43718847230627,144.7163918021101,146.89877319335938,895300
2010-03-18 00:00:00-04:00,147.03725345030693,149.66798509201593,146.54935544428633,148.78448486328125,406000
2010-03-19 00:00:00-04:00,147.92071533203125,149.00201631826326,145.81745065538124,147.92071533203125,514700
2010-03-22 00:00:00-04:00,147.0306169601071,148.8767433107355,146.3778765186102,148.81080627441406,296900
2010-03-23 00:00:00-04:00,148.79763280923194,150.1756405556987,148.21742908182628,149.66795349121094,301200
2010-03-24 00:00:00-04:00,149.01520879342016,149.61520166545176,147.52512622409398,148.3492889404297,327500
2010-03-25 00:00:00-04:00,148.3558755473485,150.1294752858579,147.92072528817764,148.61961364746094,486500
2010-03-26 00:00:00-04:00,148.96241912976132,148.96901886840052,143.7866847682991,144.5712890625,538100
2010-03-29 00:00:00-04:00,144.39333350761385,145.33617099321899,142.03951954327346,145.08563232421875,314600
2010-03-30 00:00:00-04:00,145.0592534966839,145.13178023101497,143.5493915590776,144.4790496826172,222800
2010-03-31 00:00:00-04:00,144.24167458776068,146.22625492184184,142.8834559485719,143.57574462890625,324800
2010-04-01 00:00:00-04:00,139.40881079732776,139.76484475962957,136.4484139043655,139.15167236328125,1632300
2010-04-05 00:00:00-04:00,138.91428173854223,138.91428173854223,135.53851432686002,135.822021484375,645300
2010-04-06 00:00:00-04:00,134.25283359733913,135.22204995134877,130.58695870815694,130.9100341796875,1399900
2010-04-07 00:00:00-04:00,131.04190292092105,132.79572401103138,130.45509933039028,131.2199249267578,1117600
2010-04-08 00:00:00-04:00,130.25724806664743,134.8923376911627,130.15175284006054,134.87255859375,1329100
2010-04-09 00:00:00-04:00,134.4902152813329,137.73411971698675,134.4902152813329,135.89459228515625,774700
2010-04-12 00:00:00-04:00,135.406653043179,136.48136459244762,134.9319344484457,135.69017028808594,561300
2010-04-13 00:00:00-04:00,135.61768209668855,136.95612210757716,134.8594460415717,136.41546630859375,335900
2010-04-14 00:00:00-04:00,137.2725567405005,139.40219064193812,136.81761725597894,139.36923217773438,586400
2010-04-15 00:00:00-04:00,139.77802189543988,139.95604389123187,136.23082170531092,136.2835693359375,579800
2010-04-16 00:00:00-04:00,135.88798651360392,136.27038925584606,131.35838025609544,132.36056518554688,821200
2010-04-19 00:00:00-04:00,131.54957079990982,134.25941845779573,131.48363375243017,133.58689880371094,454800
2010-04-20 00:00:00-04:00,135.06379782585026,135.06379782585026,133.0330595675238,133.96270751953125,319500
2010-04-21 00:00:00-04:00,133.44845144425707,135.39348391778233,131.39134408527534,132.65725708007812,386700
2010-04-22 00:00:00-04:00,133.18472490816197,137.35828704943515,132.30122469212284,137.0022430419922,698700
2010-04-23 00:00:00-04:00,136.4220337980979,139.70549585132065,136.4220337980979,139.1318817138672,591600
2010-04-26 00:00:00-04:00,134.7011840957751,134.7011840957751,126.85514738494938,127.21778106689453,1816800
2010-04-27 00:00:00-04:00,126.5914099351415,127.76501699323536,121.98268779538097,122.3057632446289,1042000
2010-04-28 00:00:00-04:00,123.81563062115387,125.92549559572291,119.4574570057479,121.60688018798828,1106400
2010-04-29 00:00:00-04:00,123.19591960928541,126.04422240736284,122.31900875401875,125.52994537353516,699500
2010-04-30 00:00:00-04:00,124.89691537093756,125.21999079181747,120.3145724778638,121.31675720214844,846600
2010-05-03 00:00:00-04:00,122.37831546315908,123.56511219058919,121.48821540244063,122.47721099853516,421000
2010-05-04 00:00:00-04:00,121.34315218479308,121.64644856994362,116.67510219867383,117.14981079101562,668200
2010-05-05 00:00:00-04:00,114.98720787119746,117.65090809260961,114.38722490471248,115.25094604492188,766600
2010-05-06 00:00:00-04:00,114.59157305573092,118.29700498746833,110.26636922212023,113.15422821044922,1279100
2010-05-07 00:00:00-04:00,113.14108796920627,116.03554769800927,111.77626936526603,113.48393249511719,1232400
2010-05-10 00:00:00-04:00,116.38497733754276,119.4113007390551,115.12565415858958,116.4179458618164,597500
2010-05-11 00:00:00-04:00,115.13224595763977,115.13224595763977,111.92790051455482,112.73888397216797,940400
